SNO,Product_Variant,VOLUME,Price,BRAND,COUNTRY,Coutry of origin,Main_Category,Sub_Category,Sub_Sub_Category,SIZE,TYPES,Description
573,CORRALEJO ANEJO_700ML,700,15950,CORRALEJO,MEXICO,Imported,Spirits ,tequila,Imported,700ML,ANEJO,"Calle 23 is a 100% agave
tequila from the highlands of Jalisco, the Los Altos region. Double-distilled
in copper pot-stills to retain the true agave character, Calle 23 is a hit in
upscale cocktail bars., Nose: Citrus, herbs and
cooked agave., Palate: Sharp green
apples, softer notes of pear and more cooked agave., Finish: Pears continue on
the finish. Overall: A cracking cocktail tequila."
574,CORRALEJO BLANCO_700ML,700,8750,CORRALEJO,MEXICO,Imported,Spirits ,tequila,Imported,700ML,BLANCO,"<strong><span style=""font-size: 10pt; font-family: Arial, sans-serif; letter-spacing: 0.25pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; font-weight: normal;"">Calle 23 Reposado tequila</strong><span style=""font-size: 10pt; font-family: Arial, sans-serif; letter-spacing: 0.25pt; background-image: initial;  is made from <strong style=""box-shadow: none !important;""><span style=""font-weight: normal;"">100% Blue or Weber
Agave</strong>, which is harvested by the Jimadores in the <strong style=""box-shadow: none !important;""><span style=""font-weight: normal;"">Jalisco Highlands, Mexico</strong>. It
has a clean and vibrant flavor with light woody notes., Delicious light hints of wood, while the cooked agave still
plays the major role in this reposado’s aroma. Managed to be smooth and easy
yet truly characterful., Light and smooth, the wood adds spiciness perfecting its
personality. Notes of roasted peppers and fresh figs complete the experience.
Light Wood notes, big agave presence and well-balanced spiciness"
575,CORRALEJO REPOSADO_750ML,750,9650,CORRALEJO REPOSADO,MEXICO,Imported,Spirits ,tequila,Imported,750ML,REPOSADO,"Camino Real Blanco is a soft, golden amber-like,
light-tasting tequila made from a special kind of blue agave. It widely is considered
among the best choice for bartenders in making cocktails., The
Camino Real Blanco’s soft and light taste perfectly captures the essence of
authentic Mexican tequila. It has complex aromas dominated by notes of agave
and light shades of cane molasses. Camino Real Blanco is transparent in colour
and is enclosed in a distinguishable pumpkin-like shaped bottle. The tequila
has a minimum aging period not exceeding 30 days and is considered among the
best for cocktails. Definitely worth a try."
576,CORRALEJO TRIPLE DISTILLED TEQUILA_750ML,750,12450,CORRALEJO,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TRIPLE DISTILLED,"Camino
Real Gold Tequila is a golden-appearing drink with a specific mild flavor and
aroma of the blue agave. The golden amber-like color of Camino Real Gold
Tequila results from the drink seasoning in oak barrels which adds a light
bitterish-sweet sub tone to the taste., Camilo
Real Gold - very soft tequila, combining traditional music and amazing blue
agave sweet caramel shades by which to drink tequila is especially nice."
577,DON JULIO REPOSADO_750ML,750,10450,DON JULIO,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TEQUILA,"Mexico- Made from the
best mature blue agave plants, incredibly smooth and delicious. This private recipe
tequila has a unique wine influence with hints of sherry and oaky flavor from
ageing in French oak casks. Winner of 2016 Sip Awards Platinum-Best in Class
Tequila., This private
recipe tequila has a unique wine influence with hints of sherry and oaky flavor
from ageing in French oak casks."
578,DOS FLAMOS BLANCO TEQUILA_750ML,750,3990,DOS FLAMOS,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TEQUILA,"Mexico-
An unrested tequila. We take pride in every step of our production process, carefully
sourcing only the best ingredients to produce a spirit that requires no
resting. Like many tequila aficionados, we recommend this expression as the
true natural taste of our storied terroir., Vegetal
agave notes stand proud at the core of Codigo 1530 Blanco, supported by hints
of apple peel and sea salt."
579,DOS FLAMOS ORO TEQUILA_750ML,750,3990,DOS FLAMOS,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TEQUILA,"A
step up from the Código 1530 Blanco, the Rosa spends a month resting in barrels
that previously held Napa Cabernet wine. The result is an earthy tequila with
light though bright hint of red fruit sweetness., Dried
cranberry, earthy minerals, plenty of authentic agave notes continuing to shine
though."
580,EL JIMADOR BLANCO_50ML,50,265,EL JIMADOR,MEXICO,Imported,Spirits ,tequila,Imported,50ML 750ML,BLANCO,"Corralejo
mature their Anejo tequila for 12 months in new, charred American oak barrels
before putting it into the beautiful red bottles. A gorgeous, smoky tequila,
ready for sipping., Colour:
Pale Golden Hue. Aroma: Oak, Smoke, Hints of Cocoa, Vanilla and Peppercorn.<o:p></o:p>, Taste:
Caramel, Cooked Pear, White Pepper, Cardamom. Full Body Finish."
581,EL JIMADOR BLANCO_750ML,750,3295,EL JIMADOR,MEXICO,Imported,Spirits ,tequila,Imported,50ML 750ML,BLANCO,"Corralejo
Blanco is a 100% blue agave tequila bottled straight from the still at 38%.
It's a pure distillation of fruity agave creating a rich and characterful
spirit despite its lack of aging., Colour:
Pure, clear.<o:p></o:p>, Aroma:
White, Pink peppercorn, Herbal undertones.<o:p></o:p>, Taste:
Agave flavour, Spearmint."
582,EL JIMADOR REPOSADO_50ML,50,360,EL JIMADOR,MEXICO,Imported,Spirits ,tequila,Imported,50ML 750ML,REPOSADO,"Corralejo Reposado Tequila is
a 100% blue weber agave Tequila. Rested in American oak, this is a refreshingly
citrusy style of Tequila., Colour: Light straw colour. Aroma: Delicate
fragrance of Vanilla, Peppercorn, Brine and Honey. Taste: Fruit filled Lemon,
Lime, Honey, Peppercorn. Smooth Medium Body Finish."
583,EL JIMADOR REPOSADO_750ML,750,3525,EL JIMADOR,MEXICO,Imported,Spirits ,tequila,Imported,50ML 750ML,REPOSADO,"The triple-distilled version
of Corralejo Reposado's Tequila, made entirely from blue weber agave. Rested in
American oak, this is a refreshingly citrusy style of Tequila., Colour: Light straw
colour.<o:p></o:p>, Aroma: Vanilla, Peppercorn
and Cooked Pear.<o:p></o:p>, Taste: Lemon Lime, Oak,
Honey and Vanilla. Soft Silk Finish."
584,JOSE CUERVO ESPECIAL EXTRA ANEJO_750ML,750,19999,JOSE CUERVO,MEXICO,Imported,Spirits ,tequila,Imported,750ML,ANEJO,"Don Julio Tequila is
produced in the Highlands of Jalisco, where the microclimate and mineral-rich
clay soil allow the blue agave plant to flourish. Look out for the NOM number,
their seal of authenticity, signifying where the tequila was made."
585,JOSE CUERVO ESPECIAL REPOSADO_750ML,750,3250,JOSE CUERVO,MEXICO,Imported,Spirits ,tequila,Imported,750ML,REPOSADO,"The
brand was inspired by an ancient Mexican folklore, a talea bout soulmates and
their love story. The volcano represents the passion and love between the
lovers with the eruption as their final union. Dos Flamos is produced by La
Cofradia, they have been distilling Tequila in the heart of Jalisco for over
half a century using the finest of Agave and age-old distilling traditions. La
Cofradia brands are recognize da round the world for their quality and contribution
to the tequila industry and the Jalisco region., Aroma:
Light and refreshing with fruity and vegetal notes, distinctive notes of agave
and the terroir of Jalisco on the nose.<o:p></o:p>, Palate:
Elegantly balanced notes of citrus fruit, cut grass and a soft earthy finish.
Signature.<o:p></o:p>, Drink:
Cool-cumber Margarita."
586,JOSE CUERVO ESPECIAL SILVER_750ML,750,3150,JOSE CUERVO,MEXICO,Imported,Spirits ,tequila,Imported,750ML,SILVER,"<font face=""Arial, sans-serif""><span style=""font-size: 10pt;"">The
brand was inspired by an ancient Mexican folklore, a <span style=""font-size: 13.3333px;"">tale<span style=""font-size: 10pt;""> bout soulmates and
their love story. The volcano represents the passion and love between the
lovers with the eruption as their final union. Dos Flamos is produced by La
Cofradia, they have been distilling Tequila in the heart of Jalisco for over
half a century using the finest of Agave and age-old distilling traditions. La
Cofradia brands are recognize da round the world for their quality and
contribution to the tequila industry and the Jalisco region., <span style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>Aroma: Citrus, grilled pepper sad
sweet spices.<span style='font-size: 10pt; font-family: Helvetica, ""sans-serif"";'><o:p></o:p>, <span style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>Palate: Rich and zesty on entry
followed by smoky peppery note sand a smooth finish of cinnamon and vanilla
Signature.<span style='font-size: 10pt; font-family: Helvetica, ""sans-serif"";'><o:p></o:p>, Drink: Mexican Martini."
587,JOSE CUERVO RESERVA FAMILIA PLATINA_750ML,750,11250,JOSE CUERVO,MEXICO,Imported,Spirits ,tequila,Imported,750ML,PLATINO,"Young and fresh, El Jimador
Silver tequila steps up with truly authentic character. It’s made with 100%
hand-harvested blue Weber agave and double distilled with sparkling clarity.
We’ve perfected the skills to produce a spirit so rich in flavor that every sip
comes to life. Crisp and buzzing with citrus flavors, take a sip or shake it up., Aroma - a fresh aroma,
rich with citrus fruits., Color- crystal clear., Flavor- fruity and spicy
balanced with herbaceous notes finish- warm and spicy with hints of 100% blue
agave."
588,LOS JAVIS ESPADIN JOVEN MEZCAL_700ML,700,11900,LOS JAVIS,MEXICO,Imported,Spirits ,tequila,Imported,700ML,TEQUILA,"Young and fresh, El Jimador
Silver tequila steps up with truly authentic character. It’s made with 100%
hand-harvested blue Weber agave and double distilled with sparkling clarity.
We’ve perfected the skills to produce a spirit so rich in flavor that every sip
comes to life. Crisp and buzzing with citrus flavors, take a sip or shake it up., Aroma - a fresh aroma,
rich with citrus fruits., Color- crystal clear., Flavor- fruity and spicy
balanced with herbaceous notes finish- warm and spicy with hints of 100% blue
agave."
589,MAESTRO DOBEL ANEJO TEQUILA_750ML,750,13975,MAESTRO DOBEL,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TEQUILA,"El Jimador Reposado begins
with 100% hand-harvested blue Weber agave, naturally fermented and double
distilled. Then it enjoys a two-month siesta in our own handmade American oak
barrels until the perfect moment. The results are worth the wait: an exquisite
golden tone, warm seasoned flavors and a smooth, confident agave flavor that
really shines through., 
Aroma- an inviting aroma of vanilla, toasted wood, fruits,
spices and cooked agave<o:p></o:p>, <span style='font-size:
10.0pt;font-family:Flavor- a rich combination of spice,
fruit, wood, vanilla and subtle toasted hazelnuts<o:p></o:p>, Finish- soft and long-lasting with the
warm flavors of vanilla and subtle spice rested in oak."
590,MAESTRO DOBEL DIAMANTE REPOSADO TEQUILA_750ML,750,13500,MAESTRO DOBEL,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TEQUILA,"El Jimador Reposado begins
with 100% hand-harvested blue Weber agave, naturally fermented and double
distilled. Then it enjoys a two-month siesta in our own handmade American oak
barrels until the perfect moment. The results are worth the wait: an exquisite
golden tone, warm seasoned flavors and a smooth, confident agave flavor that
really shines through., 
Aroma- an inviting aroma of vanilla, toasted wood, fruits,
spices and cooked agave<o:p></o:p>, <span style='font-size:
10.0pt;font-family:Flavor- a rich combination of spice,
fruit, wood, vanilla and subtle toasted hazelnuts<o:p></o:p>, Finish- soft and long-lasting with the
warm flavors of vanilla and subtle spice rested in oak."
591,MAESTRO DOBEL REPOSADO TEQUILA_750ML,750,11950,MAESTRO DOBEL,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TEQUILA,"Reserve de la Familia Extra Anejo
is the award-winning pinnacle of the Jose Cuervo family of tequilas. The finest
10–12-year-old agaves are hand-selected, and only the most flavorful inner
portion of the agave’s heart is used to make this 100% Blue Agave Extra Anejo
Tequila., Reserve de la Familia Extra Anejo
is the award-winning pinnacle of the Jose Cuervo family of tequilas. The finest
10–12-year-old agaves are hand-selected, and only the most flavorful inner
portion of the agave’s heart is used to make this 100% Blue Agave Extra Anejo
Tequila."
592,MAESTRO DOBEL SILVER TEQUILA_750ML,750,10750,MAESTRO DOBEL,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TEQUILA,"Jose
Cuervo has been making tequila for over 250 years with the same experience,
craftsmanship, and recipes that have been handed down generation through
generation. Cuervo family are the first commercial producers of tequila. They
were the first ones to bottle tequila. Jose Cuervo owns 70% of all the Blue
Agave fields in the tequila regions of Mexico., Appearance: Light golden colour.<o:p></o:p>, Aroma: Ground pepper, orange peel, slight hints of
charred oak.<o:p></o:p>, Taste: Black pepper, caramel, finishing off with
toffee and Vanilla.<o:p></o:p>, Food pairing: The tequila tastes excellent with Red
Chili Sopes, a spicy Mexican dish with shredded chicken and cabbage on a fried
savoury pastry."
593,PATRON REPASADO TEQUILA_700ML,700,8100,PATRON,MEXICO,Imported,Spirits ,tequila,Imported,700ML 200ML,REPOSADO,"Jose Cuervo has been making
tequila for over 250 years with the same experience, craftsmanship, and recipes
that have been handed down generation through generation. Cuervo family are the
first commercial producers of tequila. They were the first ones to bottle
tequila. Jose Cuervo owns 70% of all the Blue Agave fields in the tequila
regions of Mexico., <strong><span style=""font-size: 10pt; font-family: Arial, sans-serif; font-weight: normal;"">Appearance:</strong> Clear
and transparent. Aroma: Mostly neutral. Slight hints of Agave and fresh Herbs.<o:p></o:p>, <strong><span style=""font-size: 10pt; font-family: Arial, sans-serif; font-weight: normal;"">Taste:</strong> Prominent
Flavour of Agave with slight earthiness and salty notes.<o:p></o:p>, Food pairing:,  The
tequila tastes excellent when paired with Mexican food and also goes well with
desserts."
594,PATRON SILVER TEQUILA_700ML,700,6500,PATRON,MEXICO,Imported,Spirits ,tequila,Imported,700ML 200ML,SILVER,"Jose Cuervo has been
making tequila for over 250 years with the same experience, craftsmanship, and
recipes that have been handed down generation through generation. Cuervo family
are the first commercial producers of tequila. They were the first ones to
bottle tequila. Jose Cuervo owns 70% of all the Blue Agave fields in the
tequila regions of Mexico., An exceptionally smooth and
effortless entry leads to a silky, dry-yet-fruity full body of creamy vanilla
bean, roasted pineapple, nuts, figs, leather, and grilled yellow peppers.
Finishes with a very long and spicy fade of honey, salt, exotic peppercorns, and
green herbs."
595,SIEMPRE PLATA TEQUILA_750ML,750,9250,SIEMPRE,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TEQUILA,"Mezcal Los Javis is a family owned and operated distillery.
Their palenque was built in Santiago Matatlan in 1979, and the Los Javis brand
was founded in 2003 by Javier Mateo and his wife. The couple made a promise to
plant and harvest the highest quality agave to create a mezcal of the finest
variety. So fine that it would carry the family name, Javier, for three
generations. Father, son, and grandson (all named Javier) began their journey
when Javier Senior instilled in his family the quality and heritage of the
mezcal making process., Los Javis Espadin is made with
agave Espadin in Santiago Matatlan, Oaxaca. The agave used to make this mezcal
were roasted in an underground oven, crushed by horse drawn tahona, fermented
with open air yeasts, and double distilled in a copper pot still., <span lang=""EN"" style='font-size: 10pt; font-family: Arial, ""sans-serif"";'>With the perfect balance
of aromas, our Espadín Joven carries notes of orange blossom, honeydew and fresh olives. Upon tasting our
Espadín, you will sense hints of anise, apple, and orange oils with high
salinity."
596,SIEMPRE REPOSADO TEQUILA_750ML,750,10250,SIEMPRE,MEXICO,Imported,Spirits ,tequila,Imported,750ML,TEQUILA,"A defined and distinct character stands above the crowd.
Aged in American white oak barrel then “paired” with a European oak reserve
just before bottling for a deeper complexity of flavor. Best savored slowly on
its own, either neat or on the rocks., Double
distilled for unique character and a smoother taste. Every step of the process
is strictly supervised by our Maestro Tequilero – from the seeding and
harvesting of the agave to the approval and labeling of each bottle with the
signature of the Maestro., A
satisfying combination of different sensations, including the dominance of wood
interspersed with sweet, nutty and vanilla flavors, with slight notes
of agave and fruitiness. It has an indescribably smooth, long finish."
597,TEARS OF LLORONA EXTRA ANEJO TEQUILA_1 Ltr,1 L,68000,TEARS OF LLORONA,MEXICO,Imported,Spirits ,tequila,Imported,1 Ltr,TEQUILA,"A very special luxury
tequila, blended using reposado, anejo and extra anejo 100% agave tequilas. The
blend is then subject to a proprietary filtering process that removes the
colour while at the same time making the tequila exceptionally smooth and creamy
in texture. Maestro Dobel Diamond looks set to take the premium tequila market
by storm., Color: <span style=""font-size: 10pt; font-family: Poppins;"">Bright and clear tequila
with touches of silver and an exceptional body, which stems from high-quality
agave., Taste: A complex mix of sweet., Flavors – caramel, honey
and maple as well as nutty and vanilla notes. An indescribable smoothness and a
long finish that leaves you wanting more."
598,VIVIR TEQUILA BLANCO_700ML,700,9600,VIVIR TEQUILA,MEXICO,Imported,Spirits ,tequila,Imported,700ML,TEQUILA,"A
sophisticated offering for those in the knows. Aged in the finest oak barrels
it takes on the essence of oak with some light notes of fruit and hints of
vanilla and almond. Savour on the rocks or in your favourite cocktail., A mix of sweet, nutty,
and vanilla flavors with indescribable smoothness and a long finish
that leaves you wanting more."
599,VIVIR TEQUILA COFFEE LIQUEUR_700ML,700,7600,VIVIR TEQUILA,MEXICO,Imported,Spirits ,tequila,Imported,700ML,TEQUILA,"Maestro
Dobel Silver is a double-distilled Tequila which, unusually, isn't rested and
is bottled straight from the still with only water added to dilute it to
drinking strength. A superb, complex, cocktail ingredient., A satisfying mixture of essences that range from sweet, like
caramel, honey, and maple, to nutty, with notes of vanilla."
600,VIVIR TEQUILA REPOSADO_700ML,700,10900,VIVIR TEQUILA,MEXICO,Imported,Spirits ,tequila,Imported,700ML,TEQUILA,"Padre Azul Anejo Tequila is matured in hand-selected oak
bourbon barrels for at least 18 months. The additional oak influence gives this
premium tequila complex flavours such as cinnamon, chocolate and caramelized
nuts. Aromas of coffee, burnt caramel, vanilla and caramelized nuts give way to
sweet hints of dried fruits such as dried cherry and apricot, along with sweet
agave. Complex yet balanced, with flavours of vanilla, caramel, chocolate,
cinnamon and dried fruits. Extremely long, smooth finish., Visual: Yellow-amber with hints of orange and a heavy body.<o:p></o:p>, Aromatic: Aromas of coffee, burnt caramel, vanilla and
caramelized nuts give way to sweet hints of dried fruits such as dried cherry
and apricot, along with sweet agave."
601,MAYA PISTOLA TEQUILA JOVEN_750ML,750,4295,MAYA PISTOLA,INDIA,Indian,Spirits ,tequila,Domestic,750ML,TEQUILA,"Refreshingly young and wild: Although it’s our youngest
tequila, the agaves used in it had been growing for between 8 and 10 years.
This means that the power of 8 to 10 years of Mexican sun lies within this
bottle, and yet it is counted among the lowest-calorie spirits. Bottled
straight after the distillation, it keeps its incomparable taste of fresh agave
and will definitely surprise you with its very soft and mild flavor. Create
unforgettable magic moments – be young and wild with Padre Azul Blanco., Visual: Crystalline, brilliant, silver hues and light tones
of straw yellow; heavy body<o:p></o:p>, Aromatic: Slow cooking reveals notes of cooked agave,
vanilla and coconut. Citrus notes of grapefruit and lemon; hints of English
mint, fruit compote of cherry, peach and pineapple."
602,MAYA PISTOLA TEQUILA PHOENIX ANEJO_700ML,700,7895,MAYA PISTOLA,INDIA,Indian,Spirits ,tequila,Domestic,700ML,TEQUILA,"Padre Azul Reposado is matured in hand-selected oak bourbon
barrels for at least 8 months. The oak influence gives this premium tequila a
particular complexity that unfolds on the palate, especially when enjoyed neat., Visual: Luminous, brilliant golden yellow color with a
heavy body.<o:p></o:p>, Aromatic: The cooked agave, fruit compote, pear, banana and
dried orange notes that result from slow cooking are balanced by the vanilla,
caramel, coconut and white chocolate that result from resting in the barrel., Taste: Fruit compote, vanilla and cooked agave notes merge
harmoniously. Velvety texture with a sweet and smooth finish."
603,MAYA PISTOLA TEQUILA REPOSADO_750ML,750,5550,MAYA PISTOLA,INDIA,Indian,Spirits ,tequila,Domestic,750ML,TEQUILA,"The World's finest ultra-premium tequila made with
100% Weber Blue Agave that is harvested, roasted, crushed, distilled and
bottled in the hills of Jalisco, Mexico. Handmade in small batches to be
smooth, sweet and easily mixable. Aged at least two months for a smooth taste
with hints of oak., Colour - Light amber tint.<o:p></o:p>, Aroma - Oak wood &amp; fresh agave.<o:p></o:p>, Taste - Fresh agave &amp; oak with notes of fruit,
citrus &amp; honey.<o:p></o:p>, Finish - Light floral &amp; vanilla."
604,MAYA PISTOLA TEQUILA ROSA SELECT_700ML,700,5950,MAYA PISTOLA,INDIA,Indian,Spirits ,tequila,Domestic,700ML,TEQUILA,"The perfect white spirit made
from the finest Weber Blue Agave. Patron Silver is handcrafted from the finest
100% Weber Blue Agave and is carefully distilled in small batches at Hacienda
Patron distillery in Jalisco, Mexico. Smooth and sweet with delicate aroma of
fruits and citrus and a light pepper finish, Patron Silver can be sipped neat,
over ice, or mixed into the perfect cocktail., Color - crystal clear, Aroma - fruits &amp; citrus, Taste - smooth &amp; sweet, Finish - light pepper."
605,CANADA LEMON DRY GIN_750ML,750,600,CANADA,INDIA,Indian,Spirits ,liqueur,Flavoured,750ML 180ML 90ML,GIN,"Award-winning,
100% agave tequila that's handcrafted in small batches. Crystal clear in
appearance. Complex aromas and flavours of spice, herb, pepper, brine/sea salt
and citrus with candied, floral notes and hints of caramel and sweet fruit.
Exceptionally smooth, naturally sweet and made for sipping."
606,CANADA LEMON DRY GIN_180ML,180,150,CANADA,INDIA,Indian,Spirits ,liqueur,Flavoured,750ML 180ML 90ML,GIN,"Mexico - Bottled and distilled
in Mexico's most awarded tequila distillery, Siempre Reposado is a 100% agave sipping tequila aged up to 6 months in American
Oak barrels. Tasting notes of apple, biscuit, caramel, honey, smoke and wood., This
beautifully aged spirit boasts notes of oak, fruity undertones, honey and
vanilla underpinned by cooked agave. There is a smooth harmony on the palate,
not unlike what shows in some very fine bourbons."
607,CANADA LEMON DRY GIN_90ML,90,80,CANADA,INDIA,Indian,Spirits ,liqueur,Flavoured,750ML 180ML 90ML,GIN,"Tears
of Llorona is a rare, small batch, extra anejo Tequila, aged five years in oak
barrels that have previously held scotch, sherry, and brandy. This unique
triple barreling and extra-long aging creates a complex, layered fusion that is
more like a cognac or a very old whiskey, yet it retains clear agave notes.
Master Distiller Germán Gonzalez harvests only high altitude, late season blue
agaves from the volcanoes in Jalisco, known for their high sugar content., Bouquet
of black cherries, vanilla, honeysuckle and apples, leading to notes of
chocolate, toffee and crème brulee on the palate. Finish is spicy and elegant,
with notes of cinnamon and cloves balanced by sweeter touches of raisins,
caramel and oak."
608,TI CONNIE COFFEE LIQUEUR_750ML,750,1750,TI CONNIE,INDIA,Indian,Spirits ,liqueur,Flavoured,750ML 375ML,,"Vivir Tequila Blanco is made with 100% Blue
Weber agave, it has a smooth palate with notes of wood smoke, leather and
clean, herbal agave., The Tequila Blanco is super smooth and clean on the palate, with
fresh citrus and zesty agave flavours.<o:p></o:p>"
609,TI CONNIE COFFEE LIQUEUR_375ML,375,875,TI CONNIE,INDIA,Indian,Spirits ,liqueur,Flavoured,750ML 375ML,,"VIVIR Tequila Reposado is made
with 100% blue weber agave, and allowed to mature in bourbon oak casks for at
least 6 months before making its way into the handsome bottles. Suitable for
enjoying neat, but also works particularly well in all manner of Tequila-based
cocktails..., Chewy caramel and melted butter, with agave earthiness as its
backbone.<span style=""background-color: rgb(243, 240, 238);""><o:p></o:p>"
610,TI CONNIE PEACHY LIQUEUR_750ML,750,1750,TI CONNIE,INDIA,Indian,Spirits ,liqueur,Flavoured,750ML 375ML,,"Maya Pistola
Agavepura is craft 100% Agave Spirit made from the Wild Agave Americana that
grows in India’s Deccan Plateau. India’s first aged 100% Agave Spirit, it’s
additive-free, double distilled in pot stills which lends the characteristic
smoothness and a rich flavor profile. Our spirit is matured in different Oak casks
comprising of Virgin American Oak, Ex-Bourbon Casks and Ex-Wine Barrels,
depending on the variant type. Authenticity is central to our Ethos, Each
bottle is unique. Each bottle has its own character. Each bottle is its own
truth., Joven,
aka Young in Spanish, is also the youngest of the variants. Our Joven is a
blend of unaged and aged 100% agave spirits and has the perfect agave notes
with just a touch of wood., Color
– Clear light straw, indicating a slight aged profile in the blend., <span style='font-size: 10pt; font-family: Arial, ""sans-serif""; letter-spacing: 0.25pt;'>Aromas
– Fresh citrus &amp;amp; Floral Aromas with cooked agave and hints of vanilla
pastry in the background. Notes of mint, coriander seeds and white pepper.<span style='font-size: 10pt; font-family: Helvetica, ""sans-serif"";'><o:p></o:p>, <span style='font-size: 10pt; font-family: Arial, ""sans-serif""; letter-spacing: 0.25pt;'>Palate
– Citrus fruits, peppermint, green peppercorns laced with honey in the back.
The spirit is any<span style='font-size: 10pt; font-family: Helvetica, ""sans-serif"";'><o:p></o:p>, <span style='font-size: 10pt; font-family: Arial, ""sans-serif""; letter-spacing: 0.25pt;'>Complex
with layered notes of herbs and spices.<span style='font-size: 10pt; font-family: Helvetica, ""sans-serif"";'><o:p></o:p>, <span style='font-size: 10pt; font-family: Arial, ""sans-serif""; letter-spacing: 0.25pt;'>Finish
– Spicy medium finish.<span style='font-size: 10pt; font-family: Helvetica, ""sans-serif"";'><o:p></o:p>, Savor
– As a shooter, with tonic or in cocktails."
611,TI CONNIE PEACHY LIQUEUR_375ML,375,875,TI CONNIE,INDIA,Indian,Spirits ,liqueur,Flavoured,750ML 375ML,,"Maya Pistola
Agavepura is craft 100% Agave Spirit made from the Wild Agave Americana that
grows in India’s Deccan Plateau. India’s first aged 100% Agave Spirit, it’s
additive-free, double distilled in pot stills which lends the characteristic
smoothness and a rich flavor profile. Our spirit is matured in different Oak casks
comprising of Virgin American Oak, Ex-Bourbon Casks and Ex-Wine Barrels,
depending on the variant type. Authenticity is central to our Ethos, Each
bottle is unique. Each bottle has its own character. Each bottle is its own
truth."
612,TI CONNIE SAMBUCA LIQUEUR_750ML,750,1750,TI CONNIE,,Indian,Spirits ,liqueur,Flavoured,750ML 375ML 750ML 375ML,,"Maya Pistola
Agavepura is craft 100% Agave Spirit made from the Wild Agave Americana that
grows in India’s Deccan Plateau. India’s first aged 100% Agave Spirit, it’s
additive-free, double distilled in pot stills which lends the characteristic
smoothness and a rich flavor profile. Our spirit is matured in different Oak casks
comprising of Virgin American Oak, Ex-Bourbon Casks and Ex-Wine Barrels,
depending on the variant type. Authenticity is central to our Ethos, Each
bottle is unique. Each bottle has its own character. Each bottle is its own
truth., <span style='font-size:10.0pt;
font-family:""Arial"",""sans-serif""'>Reposado, aka Rested in Spanish, is silky and
smooth 100% Agave Spirit. Our Reposado has been aged <span style='font-family: Arial, ""sans-serif""; font-size: 10pt;'>For 4 to 5 months in Ex-bourbon &amp;amp;
Virgin American Oak Casks., Sight – Pale Gold, showcasing barrel ageing.<o:p></o:p>, <span style='font-size:10.0pt;
font-family:""Arial"",""sans-serif""'>Nose – Intense and perfumed, sweet aromas of
butterscotch &amp;amp; vanilla are too good to miss. <span style='font-family: Arial, ""sans-serif""; font-size: 10pt;'>Prominent fruity notes of orange &amp;amp;
pineapple along with subtle spices., <span style='font-size:10.0pt;
font-family:""Arial"",""sans-serif""'>Palate – Smooth and spicy, with notes of
orange marmalade, black pepper, clove alongside some <span style='font-family: Arial, ""sans-serif""; font-size: 10pt;'>Crème brulee. Mellow with luscious creamy
mouthfeel., Finish – Medium finish, inviting you to take
another sip.<o:p></o:p>, Savor – Best enjoyed on ice. Our Reposado
opens up with time."
